Gene	Origen
WEE2	KEGG
WHSC1	Reactome
WRAP53	Reactome
XPO1	Reactome
YWHAB	KEGG & Reactome
YWHAE	KEGG & Reactome
YWHAG	KEGG & Reactome
YWHAH	KEGG & Reactome
YWHAQ	KEGG & Reactome
YWHAZ	KEGG & Reactome
ZBTB17	KEGG
ZW10	Reactome
ZWILCH	Reactome
ZWINT	ReactomeGene	Origen
ATM	DDRProt
ATR	DDRProt
ATRIP	DDRProt
BABAM1	DDRProt
BARD1	DDRProt
BLM	DDRProt
BRCA1	DDRProt
BRCA2	DDRProt
BRCC3	DDRProt
BRE	DDRProt
BTRC	DDRProt
CDC25A	DDRProt
CDC25C	DDRProt
CDT1	DDRProt
CHEK1	DDRProt
CHEK2	DDRProt
CLSPN	DDRProt
CUL1	DDRProt
CUL4A	DDRProt
DCLRE1B	DDRProt
DCLRE1C	DDRProt
DDB1	DDRProt
DNA2	DDRProt
DTL	DDRProt
EME1	DDRProt
ERCC1	DDRProt
ERCC2	DDRProt
ERCC3	DDRProt
ERCC4	DDRProt
ERCC5	DDRProt
ERCC6	DDRProt
ERCC8	DDRProt
EXO1	DDRProt
FAM175A	DDRProt
FANCD2	DDRProt
FANCM	DDRProt
FBXO31	DDRProt
H2AFX	DDRProt
HERC2	DDRProt
HNRNPK	DDRProt
HUS1	DDRProt
KAT5	DDRProt
KAT8	DDRProt
LIG4	DDRProt
MAPK3	DDRProt
MAPKAPK2	DDRProt
MDC1	DDRProt
MDM2	DDRProt
MDM4	DDRProt
MLH1	DDRProt
MRE11A	DDRProt
MSH2	DDRProt
MSH3	DDRProt
MSH6	DDRProt
MTA2	DDRProt
MUS81	DDRProt
NBN	DDRProt
NHEJ1	DDRProt
NR4A2	DDRProt
NSMCE2	DDRProt
PALB2	DDRProt
PARP1	DDRProt
PARP2	DDRProt
PAXIP1	DDRProt
PCNA	DDRProt
PIAS1	DDRProt
PIAS4	DDRProt
PLK1	DDRProt
PMS2	DDRProt
PRKDC	DDRProt
RAD1	DDRProt
RAD17	DDRProt
RAD18	DDRProt
RAD23B	DDRProt
RAD50	DDRProt
RAD51	DDRProt
RAD9A	DDRProt
RBBP8	DDRProt
RBX1	DDRProt
RMI1	DDRProt
RNF168	DDRProt
RNF8	DDRProt
RPA1	DDRProt
RPA2	DDRProt
RPA3	DDRProt
SIRT1	DDRProt
SKP1	DDRProt
SLX1A	DDRProt
SLX4	DDRProt
SMARCAL1	DDRProt
SMC1A	DDRProt
SMC5	DDRProt
SMC6	DDRProt
SOX4	DDRProt
TAOK1	DDRProt
TDP1	DDRProt
TDP2	DDRProt
TERF2	DDRProt
TIMELESS	DDRProt
TIPIN	DDRProt
TOP3A	DDRProt
TOPBP1	DDRProt
TP53BP1	DDRProt
TRIM28	DDRProt
TRIP12	DDRProt
UBE2N	DDRProt
UBE2T	DDRProt
UBR5	DDRProt
UIMC1	DDRProt
USP11	DDRProt
WEE1	DDRProt
XPA	DDRProt
XPC	DDRProt
XRCC1	DDRProt
XRCC4	DDRProt
XRCC5	DDRProt
XRCC6	DDRProt
YWHAE	DDRProt
Gene	Origen
RFC5	Reactome
APEX1	Reactome
CDC7	Reactome
LIG1	Reactome
PSMC5	Reactome
PSMA8	Reactome
RB1	Reactome
GINS1	Reactome
DBF4	Reactome
CDT1	Reactome
CDC6	Reactome
PSMD14	Reactome
RPS27A	Reactome
UBA52	Reactome
CDC45	Reactome
CDK2	Reactome
CDKN1A	Reactome
CCNA1	Reactome
CCNA2	Reactome
DNA2	Reactome
POLD2	Reactome
POLD3	Reactome
POLD4	Reactome
POLE2	Reactome
POLA2	Reactome
POLA1	Reactome
POLD1	Reactome
POLE	Reactome
E2F1	Reactome
E2F2	Reactome
E2F3	Reactome
FEN1	Reactome
FZR1	Reactome
GMNN	Reactome
MCM2	Reactome
MCM3	Reactome
MCM4	Reactome
MCM5	Reactome
MCM6	Reactome
MCM7	Reactome
ORC1	Reactome
ORC2	Reactome
ORC3	Reactome
ORC4	Reactome
ORC5	Reactome
ORC6	Reactome
PCNA	Reactome
PRIM1	Reactome
PRIM2	Reactome
PSMC1	Reactome
PSMC4	Reactome
PSMC2	Reactome
PSMC3	Reactome
PSMC6	Reactome
PSMA1	Reactome
PSMA2	Reactome
PSMA3	Reactome
PSMA4	Reactome
PSMA5	Reactome
PSMA6	Reactome
PSMA7	Reactome
PSMB1	Reactome
PSMB2	Reactome
PSMB3	Reactome
PSMB4	Reactome
PSMB5	Reactome
PSMB6	Reactome
PSMB7	Reactome
PSMB8	Reactome
PSMB9	Reactome
PSMB10	Reactome
PSMD1	Reactome
PSMD2	Reactome
PSMD3	Reactome
PSMD4	Reactome
PSMD5	Reactome
PSMD6	Reactome
PSMD7	Reactome
PSMD8	Reactome
PSMD9	Reactome
PSMD10	Reactome
PSMD11	Reactome
PSMD12	Reactome
PSMD13	Reactome
PSME1	Reactome
PSME2	Reactome
PSME3	Reactome
PSMF1	Reactome
GINS2	Reactome
RPA1	Reactome
RPA2	Reactome
RPA3	Reactome
RPA4	Reactome
RFC1	Reactome
RFC2	Reactome
RFC3	Reactome
RFC4	Reactome
GINS4	Reactome
CDKN1B	Reactome
MCM10	Reactome
PSMB11	Reactome
PSME4	Reactome
GINS3	Reactome
MCM8	Reactome
UBC	Reactome
UBB	ReactomeGene	Origen
BIRC2	Reactome
BIRC3	Reactome
CASP8	Reactome
